"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20126","Remove item from cart--Regression","","Fri May 23 10:43:28 UTC 2025","passed","Fri May 23 10:43:48 UTC 2025","","Cart Page Tests","",""
"","699","Remove a product from cart--Regression","","Thu May 22 11:49:09 UTC 2025","passed","Thu May 22 11:49:09 UTC 2025","","Inventory Page Tests","",""
"","414","Logout from burger menu--Regression","","Fri May 23 10:43:21 UTC 2025","passed","Fri May 23 10:43:21 UTC 2025","","Inventory Page Tests","",""
"","407","Add a product to cart--Smoke, Regression","","Thu May 22 11:49:08 UTC 2025","passed","Thu May 22 11:49:09 UTC 2025","","Inventory Page Tests","",""
"","9977","Checkout with missing info--Regression, Sanity, E2E","","Fri May 23 10:43:29 UTC 2025","passed","Fri May 23 10:43:39 UTC 2025","","Checkout Flow Tests","",""
"","11651","Add multiple items and verify in cart--Regression","","Fri May 23 10:43:17 UTC 2025","passed","Fri May 23 10:43:28 UTC 2025","","Cart Page Tests","",""
"","1081","Checking Login Page UI Elements Visibility--Smoke, Regression","","Fri May 23 10:43:17 UTC 2025","passed","Fri May 23 10:43:18 UTC 2025","","Login Page Test","",""
"","579","Verify product sorting (Name A to Z)--Regression","","Fri May 23 10:43:20 UTC 2025","passed","Fri May 23 10:43:21 UTC 2025","","Inventory Page Tests","",""
"","279","Login with invalid credentials--Regression","","Thu May 22 11:49:08 UTC 2025","passed","Thu May 22 11:49:09 UTC 2025","","Login Page Test","",""
"","3298","Checking Login Page UI Elements Visibility--Smoke, Regression","","Thu May 22 11:49:05 UTC 2025","passed","Thu May 22 11:49:08 UTC 2025","","Login Page Test","",""
"","13484","Verify order summary and finish--Smoke, Regression, Sanity, E2E","","Fri May 23 10:43:39 UTC 2025","passed","Fri May 23 10:43:52 UTC 2025","","Checkout Flow Tests","",""
"","530","Verify product sorting (Name A to Z)--Regression","","Thu May 22 11:49:09 UTC 2025","passed","Thu May 22 11:49:10 UTC 2025","","Inventory Page Tests","",""
"","479","Login with valid credentials--Smoke, Regression","","Thu May 22 11:49:08 UTC 2025","passed","Thu May 22 11:49:08 UTC 2025","","Login Page Test","",""
"","826","Logout from burger menu--Regression","","Thu May 22 11:49:10 UTC 2025","passed","Thu May 22 11:49:11 UTC 2025","","Inventory Page Tests","",""
"","12274","Checkout with valid info--Smoke, Regression, Sanity, E2E","","Fri May 23 10:43:17 UTC 2025","passed","Fri May 23 10:43:29 UTC 2025","","Checkout Flow Tests","",""
"","614","Remove a product from cart--Regression","","Fri May 23 10:43:19 UTC 2025","passed","Fri May 23 10:43:20 UTC 2025","","Inventory Page Tests","",""
"","9837","Checkout with missing info--Regression, Sanity, E2E","","Thu May 22 11:49:19 UTC 2025","passed","Thu May 22 11:49:29 UTC 2025","","Checkout Flow Tests","",""
"","410","Login with locked out user--Regression","","Fri May 23 10:43:19 UTC 2025","passed","Fri May 23 10:43:20 UTC 2025","","Login Page Test","",""
"","12960","Add multiple items and verify in cart--Regression","","Thu May 22 11:49:05 UTC 2025","passed","Thu May 22 11:49:18 UTC 2025","","Cart Page Tests","",""
"","3553","Verify all products are displayed--Smoke, Regression","","Thu May 22 11:49:05 UTC 2025","passed","Thu May 22 11:49:08 UTC 2025","","Inventory Page Tests","",""
"","14436","Checkout with valid info--Smoke, Regression, Sanity, E2E","","Thu May 22 11:49:05 UTC 2025","passed","Thu May 22 11:49:19 UTC 2025","","Checkout Flow Tests","",""
"","2005","Verify all products are displayed--Smoke, Regression","","Fri May 23 10:43:17 UTC 2025","passed","Fri May 23 10:43:19 UTC 2025","","Inventory Page Tests","",""
"","460","Login with invalid credentials--Regression","","Fri May 23 10:43:19 UTC 2025","passed","Fri May 23 10:43:19 UTC 2025","","Login Page Test","",""
"","13254","Verify order summary and finish--Smoke, Regression, Sanity, E2E","","Thu May 22 11:49:29 UTC 2025","passed","Thu May 22 11:49:42 UTC 2025","","Checkout Flow Tests","",""
"","925","Login with valid credentials--Smoke, Regression","","Fri May 23 10:43:18 UTC 2025","passed","Fri May 23 10:43:19 UTC 2025","","Login Page Test","",""
"","19913","Remove item from cart--Regression","","Thu May 22 11:49:18 UTC 2025","passed","Thu May 22 11:49:38 UTC 2025","","Cart Page Tests","",""
"","331","Login with locked out user--Regression","","Thu May 22 11:49:09 UTC 2025","passed","Thu May 22 11:49:09 UTC 2025","","Login Page Test","",""
"","698","Add a product to cart--Smoke, Regression","","Fri May 23 10:43:19 UTC 2025","passed","Fri May 23 10:43:19 UTC 2025","","Inventory Page Tests","",""
